population,city,country,latitude,longitude
39.1,Tokyo,Japan,35.6839,139.7744
35.36,Jakarta,Indonesia,-6.2146,106.8451
31.87,Delhi,India,28.6667,77.2167
23.97,Manila,Philippines,14.6,120.9833
22.5,São Paulo,Brazil,-23.5504,-46.6339
22.39,Seoul,South Korea,37.56,126.99
22.19,Mumbai,India,19.0758,72.8775
22.12,Shanghai,China,31.1667,121.4667
21.5,Mexico City,Mexico,19.4333,-99.1333
21.49,Guangzhou,China,23.1288,113.259
19.79,Cairo,Egypt,30.0444,31.2358
19.44,Beijing,China,39.904,116.4075
18.71,New York,United States,40.6943,-73.9249
18.7,Kolkāta,India,22.5727,88.3639
17.69,Moscow,Russia,55.7558,37.6178
17.57,Bangkok,Thailand,13.75,100.5167
16.84,Dhaka,Bangladesh,23.7289,90.3944
16.22,Buenos Aires,Argentina,-34.5997,-58.3819
15.49,Lagos,Nigeria,6.45,3.4
15.49,Ōsaka,Japan,34.752,135.4582
15.31,Istanbul,Turkey,41.01,28.9603
15.29,Karachi,Pakistan,24.86,67.01
15.06,Kinshasa,Congo (Kinshasa),-4.3317,15.3139
14.68,Shenzhen,China,22.535,114.054
14.0,Bangalore,India,12.9791,77.5913
13.95,Ho Chi Minh City,Vietnam,10.8167,106.6333
13.82,Tehran,Iran,35.7,51.4167
12.75,Los Angeles,United States,34.1139,-118.4068
12.49,Rio de Janeiro,Brazil,-22.9083,-43.1964
11.92,Chengdu,China,30.66,104.0633
11.86,Baoding,China,38.8671,115.4845
11.56,Chennai,India,13.0825,80.275
11.15,Lahore,Pakistan,31.5497,74.3436
11.12,London,United Kingdom,51.5072,-0.1275
11.03,Paris,France,48.8566,2.3522
10.93,Tianjin,China,39.1467,117.2056
10.82,Linyi,China,35.0606,118.3425
10.78,Shijiazhuang,China,38.0422,114.5086
10.14,Zhengzhou,China,34.7492,113.6605
10.01,Nanyang,China,32.9987,112.5292
9.84,Hyderābād,India,17.3617,78.4747
9.73,Wuhan,China,30.5872,114.2881
9.55,Handan,China,36.6116,114.4894
9.52,Nagoya,Japan,35.1167,136.9333
9.37,Weifang,China,36.7167,119.1
8.99,Lima,Peru,-12.06,-77.0375
8.95,Zhoukou,China,33.625,114.6418
8.88,Luanda,Angola,-8.8383,13.2344
8.68,Ganzhou,China,25.8292,114.9336
8.67,Tongshan,China,34.261,117.1859
8.64,Kuala Lumpur,Malaysia,3.1478,101.6953
8.6,Chicago,United States,41.8373,-87.6862
8.29,Heze,China,35.2333,115.4333
8.26,Chongqing,China,29.55,106.5069
8.25,Hanoi,Vietnam,21.0245,105.8412
8.2,Fuyang,China,32.8986,115.8045
8.15,Changsha,China,28.1987,112.9709
8.14,Dongguan,China,23.0475,113.7493
8.08,Jining,China,35.4,116.5667
7.97,Jinan,China,36.6667,116.9833
7.95,Pune,India,18.5196,73.8553
7.91,Foshan,China,23.0292,113.1056
7.74,Bogotá,Colombia,4.6126,-74.0705
7.73,Nanjing,China,32.05,118.7667
7.72,Ahmedabad,India,23.03,72.58
7.67,Changchun,China,43.9,125.2
7.58,Tangshan,China,39.6292,118.1742
7.54,Cangzhou,China,38.3037,116.8452
7.46,Hefei,China,31.8639,117.2808
7.46,Dar es Salaam,Tanzania,-6.8,39.2833
7.4,Hong Kong,Hong Kong,22.3069,114.1831
7.37,Shaoyang,China,27.2418,111.4725
7.33,Zhanjiang,China,21.1967,110.4031
7.33,Shangqiu,China,34.4259,115.6467
7.28,Nantong,China,31.9829,120.8873
7.26,Yancheng,China,33.3936,120.1339
7.25,Nanning,China,22.8192,108.315
7.24,Hengyang,China,26.8968,112.5857
7.23,Zhumadian,China,32.9773,114.0253
7.21,Shenyang,China,41.8039,123.4258
7.1,Xingtai,China,37.0659,114.4753
7.09,Xi’an,China,34.2667,108.9
7.03,Santiago,Chile,-33.45,-70.6667
6.97,Yantai,China,37.3997,121.2664
6.89,Riyadh,Saudi Arabia,24.65,46.71
6.89,Luoyang,China,34.6587,112.4245
6.85,Kunming,China,25.0433,102.7061
6.81,Shangrao,China,28.4419,117.9633
6.71,Hangzhou,China,30.25,120.1675
6.69,Bijie,China,27.3019,105.2863
6.48,Quanzhou,China,24.9139,118.5858
6.45,Miami,United States,25.7839,-80.2102
6.37,Wuxi,China,31.5667,120.2833
6.33,Huanggang,China,30.45,114.875
6.31,Maoming,China,21.6618,110.9178
6.28,Nanchong,China,30.7991,106.0784
6.27,Zunyi,China,27.705,106.9336
6.16,Qujing,China,25.5102,103.8029
6.11,Xinyang,China,32.1264,114.0672
6.11,Baghdad,Iraq,33.35,44.4167
6.09,Jieyang,China,23.5533,116.3649
6.02,Khartoum,Sudan,15.6031,32.5265
6.01,Madrid,Spain,40.4167,-3.7167
5.95,Allahābād,India,25.45,81.85
5.85,Yulin,China,22.6293,110.1507
5.83,Changde,China,29.0397,111.6839
5.79,Liaocheng,China,36.45,115.9833
5.78,Qingdao,China,36.1167,120.4
5.74,Dallas,United States,32.7936,-96.7662
5.71,Nangandao,China,35.2992,113.8851
5.68,Xiangyang,China,32.0654,112.1531
5.65,Philadelphia,United States,40.0077,-75.1339
5.61,Lu’an,China,31.7542,116.5078
5.6,Giza,Egypt,29.987,31.2118
5.59,Zhaotong,China,27.3328,103.7144
5.57,Yichun,China,27.8041,114.383
5.57,Dezhou,China,37.4513,116.3105
5.55,Nanchang,China,28.6842,115.8872
5.54,Nairobi,Kenya,-1.2864,36.8172
5.49,Tai’an,China,36.2001,117.0809
5.47,Dazhou,China,31.2152,107.4947
5.46,Houston,United States,29.7863,-95.3889
5.45,Yongzhou,China,26.4515,111.5953
5.45,Atlanta,United States,33.7627,-84.4224
5.44,Guadalajara,Mexico,20.6767,-103.3475
5.43,Rangoon,Myanmar,16.795,96.16
5.43,Toronto,Canada,43.7417,-79.3733
5.42,Suihua,China,46.6384,126.9808
5.38,Washington,United States,38.9047,-77.0163
5.38,Saint Petersburg,Russia,59.95,30.3167
5.37,Qiqihar,China,47.3398,123.9512
5.35,Suzhou,China,33.6333,116.9683
5.32,Shantou,China,23.3735,116.6941
5.29,Weinan,China,34.4996,109.4684
5.28,Changzhou,China,31.8122,119.9692
5.27,Singapore,Singapore,1.3,103.8
5.24,Fuzhou,China,26.0769,119.2917
5.19,Pudong,China,31.2231,121.5397
5.16,Belo Horizonte,Brazil,-19.9281,-43.9419
5.14,Zhangzhou,China,24.5093,117.6612
5.13,Yuncheng,China,35.0304,110.998
5.1,Xianyang,China,34.35,108.7167
5.1,Suzhou,China,31.304,120.6164
5.09,Guilin,China,25.2667,110.2833
5.03,Taizhou,China,32.4831,119.9
4.98,Abidjan,Côte d'Ivoire,5.3364,-4.0267
4.98,Huaihua,China,27.5494,109.9592
4.96,Ji’an,China,27.1172,114.9793
4.92,Xiaoganzhan,China,30.9273,113.911
4.9,Jiujiang,China,29.7048,116.0021
4.9,Pingdingshan,China,33.735,113.2999
4.88,Sūrat,India,21.17,72.83
4.88,Guiyang,China,26.5794,106.7078
4.87,Alexandria,Egypt,31.2,29.9167
4.85,Bozhou,China,33.8626,115.7742
4.84,Sydney,Australia,-33.865,151.2094
4.83,Huizhou,China,23.1115,114.4152
4.8,Huai’an,China,33.5,119.1331
4.74,Barcelona,Spain,41.3825,2.1769
4.74,Chenzhou,China,25.7989,113.0267
4.72,Anqing,China,30.5,117.0333
4.72,Suqian,China,33.9331,118.2831
4.69,Boston,United States,42.3188,-71.0846
4.63,Jiangmen,China,22.5833,113.0833
4.61,Mianyang,China,31.4669,104.7385
4.58,Harbin,China,45.75,126.6333
4.56,Huanglongsi,China,34.7936,114.3403
4.53,Zibo,China,36.7831,118.0497
4.53,Melbourne,Australia,-37.8136,144.9631
4.48,Dalian,China,38.9,121.6
4.47,Hengshui,China,37.7348,115.686
4.47,Yibin,China,28.7596,104.64
4.46,Yangzhou,China,32.3912,119.4363
4.44,Timbío,Colombia,2.3528,-76.6819
4.43,Johannesburg,South Africa,-26.2044,28.0416
4.41,Yiyang,China,28.5833,112.3333
4.41,Guigang,China,23.0961,109.6092
4.39,Xinpu,China,34.5906,119.1801
4.38,Meizhou,China,24.2998,116.1191
4.37,Casablanca,Morocco,33.5992,-7.62
4.36,Langfang,China,39.5196,116.7006
4.35,Zhangjiakou,China,40.8108,114.8811
4.34,Chifeng,China,42.2663,118.9223
4.32,Linfen,China,36.0812,111.5087
4.31,Jiangguanchi,China,34.0244,113.8201
4.27,Kabul,Afghanistan,34.5328,69.1658
4.22,Phoenix,United States,33.5722,-112.0891
4.22,Luzhou,China,28.8918,105.4409
4.2,Taiyuan,China,37.8733,112.5425
4.15,Zhaoqing,China,23.05,112.4667
4.14,Xiaoxita,China,30.7083,111.2803
4.11,Xiamen,China,24.4797,118.0819
4.05,Fuzhou,China,27.9814,116.3577
4.04,Liuzhou,China,24.3264,109.4281
4.02,Zhuzhou,China,27.8407,113.1469
4.01,Amman,Jordan,31.95,35.9333
3.98,Jeddah,Saudi Arabia,21.5428,39.1728
3.94,Chuzhou,China,32.3062,118.3115
3.93,Loudi,China,27.7378,111.9974
3.88,Deyang,China,31.1289,104.395
3.87,Qingyuan,China,23.6842,113.0507
3.85,Kano,Nigeria,12.0,8.5167
3.84,Wuhu,China,31.334,118.3622
3.79,Seattle,United States,47.6211,-122.3244
3.76,Yokohama,Japan,35.4333,139.6333
3.75,Binzhou,China,37.3806,118.0125
3.74,Baojishi,China,34.3609,107.1751
3.73,Zaozhuang,China,34.8667,117.55
3.7,Neijiang,China,29.5872,105.0635
3.67,Baicheng,China,23.901,106.6194
3.66,Berlin,Germany,52.5167,13.3833
3.65,Anshan,China,41.1066,122.9895
3.62,Lanzhou,China,36.0617,103.8318
3.6,Puyang,China,35.7639,115.03
3.59,San Francisco,United States,37.7562,-122.443
3.59,Jiaozuo,China,35.229,113.2304
3.55,Hechi,China,24.6928,108.085
3.52,Montréal,Canada,45.5089,-73.5617
3.51,Detroit,United States,42.3834,-83.1024
3.47,Chengde,China,40.9739,117.9322
3.45,Busan,South Korea,35.1,129.0403
3.42,Algiers,Algeria,36.7764,3.0586
3.42,Hanzhong,China,33.0794,107.026
3.4,Shiyan,China,32.6351,110.7755
3.39,Siping,China,43.1715,124.3644
3.38,Lucknow,India,26.847,80.947
3.35,Yulinshi,China,38.2655,109.7388
3.33,Changzhi,China,36.1953,113.097
3.3,Qinzhou,China,21.95,108.6167
3.28,Bazhou,China,31.8576,106.7559
3.26,Qincheng,China,34.5809,105.7311
3.26,Zhongshan,China,22.5333,113.35
